"model","term","estimate","std_error","p_value","odds_ratio"
"m1_edges","edges",-4.97759245074991,0.0590219377154209,0,0.00689063213969074
"m2_edges_mutual","edges",-5.1534594427497,0.0645934691647865,0,0.0057793766811203
"m2_edges_mutual","mutual",3.53986352016693,0.170748432453819,1.802553986603e-95,34.4622154724684
"m3_degree","edges",-4.31107361984437,0.123866938443231,2.11076237361088e-265,0.0134191348082054
"m3_degree","mutual",3.53197904838929,0.175553452632718,5.02019170395287e-90,34.1915674675247
"m3_degree","gwideg.fixed.0.5",-1.81994109263705,0.191606924171656,2.13333447349957e-21,0.162035295724725
"m3_degree","gwodeg.fixed.0.5",-0.000314285057608821,0.17398048866736,0.998558671373466,0.999685764324766
"m4_closure","edges",-5.23520670631165,0.15502196717111,5.30440470768945e-250,0.00532572350937163
"m4_closure","mutual",2.68276869281925,0.211995366045582,1.05181729878321e-36,14.6255308927675
"m4_closure","gwideg.fixed.0.5",-1.29944800816056,0.19217209301492,1.36195987221475e-11,0.272682269886933
"m4_closure","gwodeg.fixed.0.5",0.76803157649865,0.189224022994338,4.9315366804341e-05,2.15551910060298
"m4_closure","gwesp.OTP.fixed.0.5",1.40978341646476,0.0980906494216702,7.72782897853303e-47,4.09506838363005
