"model","term","estimate","std_error","p_value","odds_ratio"
"m2_edges_mutual_mcmle","edges",-5.15554459600597,0.0656729908435145,0,0.0057673383502586
"m2_edges_mutual_mcmle","mutual",3.54823331598362,0.245652285837686,2.7298621386937e-47,34.7518676532425
"m3_degree_mcmle","edges",-4.17980058155652,0.127769850263854,1.00345897877712e-234,0.0153015586755057
"m3_degree_mcmle","mutual",3.49709645414322,0.249183533140129,9.62499510633585e-45,33.0194391815666
"m3_degree_mcmle","gwideg.fixed.0.5",-2.32044669036181,0.198944684096477,1.95184684511032e-31,0.098229697543768
"m3_degree_mcmle","gwodeg.fixed.0.5",-0.19439142850214,0.235224956692519,0.408573548707898,0.823335564179498
